### Patch size (bytes) per pair and method

| pair | NEW size | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19 | full-zstd-19-T0 |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| prometheus-3.13.1-3.13.2-stripped | zstd-19-T0 | 8,279,163 | 31.78 | 428 | 0.30 | 191 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | xdelta3-9-lzma | 11,256,241 | 10.04 | 766 | 0.46 | 124 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | full-zstd-19 | 23,808,116 | 10.57 | 363 | 0.08 | 13 | 3 | True |
| prometheus-3.13.1-3.13.2-stripped | full-zstd-19-T0 | 23,808,116 | 12.39 | 363 | 0.08 | 13 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | bsdiff | 9,808,003 | 80.87 | 839 | 1.07 | 203 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | hdiffz-m6 | 8,599,007 | 20.06 | 428 | 0.10 | 27 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | hdiffz-m6-p8 | 8,593,347 | 10.72 | 440 | 0.09 | 26 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | hdiffz-s64 | 16,225,396 | 17.09 | 218 | 0.15 | 28 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | zstd-19 | 13,425,596 | 33.37 | 438 | 0.17 | 196 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | zstd-19-T0 | 13,425,596 | 41.89 | 438 | 0.22 | 195 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | xdelta3-9-lzma | 17,343,600 | 12.58 | 770 | 0.51 | 130 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | full-zstd-19 | 24,326,673 | 10.59 | 449 | 0.07 | 13 | 3 | True |
| prometheus-3.13.2-3.14.0-stripped | full-zstd-19-T0 | 24,326,673 | 11.95 | 450 | 0.08 | 13 | 3 | True |
| terraform-1.15.8-1.15.9 | bsdiff | 5,427,575 | 85.04 | 1008 | 0.90 | 236 | 3 | True |
| terraform-1.15.8-1.15.9 | hdiffz-m6 | 4,918,933 | 19.92 | 502 | 0.12 | 26 | 3 | True |
| terraform-1.15.8-1.15.9 | hdiffz-m6-p8 | 4,913,545 | 9.71 | 510 | 0.08 | 26 | 3 | True |
| terraform-1.15.8-1.15.9 | hdiffz-s64 | 14,826,573 | 18.93 | 218 | 0.15 | 28 | 3 | True |
| terraform-1.15.8-1.15.9 | zstd-19 | 11,320,635 | 40.85 | 471 | 0.17 | 228 | 3 | True |
| terraform-1.15.8-1.15.9 | zstd-19-T0 | 11,320,635 | 32.47 | 471 | 0.16 | 228 | 3 | True |
| terraform-1.15.8-1.15.9 | xdelta3-9-lzma | 15,065,548 | 15.45 | 787 | 0.55 | 146 | 3 | True |
| terraform-1.15.8-1.15.9 | full-zstd-19 | 25,547,524 | 12.65 | 465 | 0.10 | 13 | 3 | True |
| terraform-1.15.8-1.15.9 | full-zstd-19-T0 | 25,547,524 | 10.90 | 465 | 0.09 | 12 | 3 | True |
| prometheus-3.13.1-3.13.2 | bsdiff | 28,108,743 | 160.15 | 1167 | 1.51 | 268 | 3 | True |
| prometheus-3.13.1-3.13.2 | hdiffz-m6 | 27,879,860 | 35.29 | 435 | 0.09 | 27 | 3 | True |
| prometheus-3.13.1-3.13.2 | hdiffz-m6-p8 | 27,879,870 | 17.66 | 442 | 0.11 | 27 | 3 | True |
| prometheus-3.13.1-3.13.2 | hdiffz-s64 | 36,544,395 | 20.75 | 217 | 0.16 | 27 | 3 | True |
| prometheus-3.13.1-3.13.2 | zstd-19 | 33,438,259 | 32.40 | 670 | 0.22 | 264 | 3 | True |
| prometheus-3.13.1-3.13.2 | zstd-19-T0 | 33,438,259 | 32.89 | 670 | 0.20 | 263 | 3 | True |
| prometheus-3.13.1-3.13.2 | xdelta3-9-lzma | 37,570,665 | 17.64 | 1342 | 0.59 | 192 | 3 | True |
| prometheus-3.13.1-3.13.2 | full-zstd-19 | 49,598,993 | 12.50 | 505 | 0.09 | 13 | 3 | True |
| prometheus-3.13.1-3.13.2 | full-zstd-19-T0 | 49,598,993 | 11.31 | 585 | 0.09 | 13 | 3 | True |
| prometheus-3.13.2-3.14.0 | bsdiff | 36,068,700 | 193.12 | 1168 | 2.02 | 277 | 3 | True |
| prometheus-3.13.2-3.14.0 | hdiffz-m6 | 34,677,348 | 39.10 | 479 | 0.14 | 27 | 3 | True |
| prometheus-3.13.2-3.14.0 | hdiffz-m6-p8 | 34,665,529 | 16.91 | 491 | 0.13 | 26 | 3 | True |
| prometheus-3.13.2-3.14.0 | hdiffz-s64 | 42,108,809 | 22.22 | 218 | 0.16 | 27 | 3 | True |
| prometheus-3.13.2-3.14.0 | zstd-19 | 39,287,096 | 30.77 | 682 | 0.19 | 269 | 3 | True |
| prometheus-3.13.2-3.14.0 | zstd-19-T0 | 39,287,096 | 30.51 | 682 | 0.20 | 269 | 3 | True |
| prometheus-3.13.2-3.14.0 | xdelta3-9-lzma | 42,730,327 | 16.62 | 1339 | 0.62 | 187 | 3 | True |
| prometheus-3.13.2-3.14.0 | full-zstd-19 | 50,819,527 | 11.95 | 512 | 0.16 | 13 | 3 | True |
| prometheus-3.13.2-3.14.0 | full-zstd-19-T0 | 50,819,527 | 10.59 | 592 | 0.14 | 13 | 3 | True |
| cockroach-26.2.4-26.2.5-stripped | bsdiff | 8,588,309 | 150.24 | 1977 | 1.23 | 449 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | hdiffz-m6 | 9,455,199 | 43.47 | 901 | 0.22 | 27 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | hdiffz-m6-p8 | 9,457,347 | 25.96 | 909 | 0.18 | 26 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | hdiffz-s64 | 29,454,522 | 37.21 | 221 | 0.27 | 27 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | zstd-19-T0 | 23,782,446 | 40.41 | 927 | 0.34 | 442 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | xdelta3-9-lzma | 29,435,656 | 40.04 | 1407 | 0.99 | 257 | 1 | True |
| cockroach-26.2.4-26.2.5-stripped | full-zstd-19-T0 | 58,377,272 | 17.59 | 845 | 0.19 | 13 | 1 | True |
| cockroach-26.2.4-26.2.5 | bsdiff | 67,624,518 | 447.18 | 2799 | 3.65 | 632 | 1 | True |
| cockroach-26.2.4-26.2.5 | hdiffz-m6 | 67,792,784 | 102.67 | 1007 | 0.20 | 27 | 1 | True |
| cockroach-26.2.4-26.2.5 | hdiffz-m6-p8 | 67,827,098 | 29.99 | 1018 | 0.21 | 26 | 1 | True |
| cockroach-26.2.4-26.2.5 | hdiffz-s64 | 88,406,171 | 52.97 | 221 | 0.38 | 28 | 1 | True |
| cockroach-26.2.4-26.2.5 | zstd-19-T0 | 82,710,339 | 46.56 | 1375 | 0.49 | 626 | 1 | True |
| cockroach-26.2.4-26.2.5 | xdelta3-9-lzma | 86,462,021 | 47.55 | 2547 | 1.27 | 373 | 1 | True |
| cockroach-26.2.4-26.2.5 | full-zstd-19-T0 | 119,699,162 | 18.06 | 1237 | 0.24 | 13 | 1 | True |
| vault-2.0.3-2.0.4-stripped | bsdiff | 12,108,972 | 267.19 | 3376 | 2.04 | 762 | 1 | True |
| vault-2.0.3-2.0.4-stripped | hdiffz-m6 | 11,752,681 | 70.03 | 1529 | 0.28 | 27 | 1 | True |
| vault-2.0.3-2.0.4-stripped | hdiffz-m6-p8 | 11,787,185 | 36.05 | 1538 | 0.23 | 26 | 1 | True |
| vault-2.0.3-2.0.4-stripped | hdiffz-s64 | 40,451,947 | 70.68 | 225 | 0.37 | 28 | 1 | True |
| vault-2.0.3-2.0.4-stripped | zstd-19-T0 | 36,507,981 | 36.01 | 1548 | 0.60 | 754 | 1 | True |
| vault-2.0.3-2.0.4-stripped | xdelta3-9-lzma | 44,822,809 | 54.58 | 2587 | 1.79 | 412 | 1 | True |
| vault-2.0.3-2.0.4-stripped | full-zstd-19-T0 | 67,677,354 | 18.36 | 1414 | 0.26 | 13 | 1 | True |
| vault-2.0.3-2.0.4 | bsdiff | ERROR | | | | | 1 | encode rc=-999: TIMEOUT after 840s |
| vault-2.0.3-2.0.4 | hdiffz-m6 | 91,132,633 | 161.01 | 1696 | 0.34 | 27 | 1 | True |
| vault-2.0.3-2.0.4 | hdiffz-m6-p8 | 91,148,620 | 45.93 | 1709 | 0.35 | 27 | 1 | True |
| vault-2.0.3-2.0.4 | hdiffz-s64 | 119,765,773 | 83.47 | 224 | 0.45 | 28 | 1 | True |
| vault-2.0.3-2.0.4 | zstd-19-T0 | 115,826,792 | 37.68 | 2398 | 0.69 | 1029 | 1 | True |
| vault-2.0.3-2.0.4 | xdelta3-9-lzma | 126,749,351 | 57.58 | 4797 | 2.15 | 578 | 1 | True |
| vault-2.0.3-2.0.4 | full-zstd-19-T0 | 149,329,950 | 23.04 | 1595 | 0.30 | 13 | 1 | True |

### Scaling per tool: encode throughput (NEW MB / encode s), encoder RSS per input byte (RSS / OLD size), apply throughput

| tool | pairs | MB/s min-median-max | RSS/byte min-median-max | apply MB/s median | apply RSS/byte median | fit t = a*n^b: b | R2 | t(1 GB) from fit | RSS(1 GB) = median ratio * 1 GB |
|---|---:|---|---|---:|---:|---:|---:|---:|---:|
| bsdiff | 11 | 0.7 - 1.5 - 3.1 | 9.00 - 9.01 - 9.04 | 164 | 2.10 | 1.43 | 0.92 | 1785 s | 9.01 GB |
| hdiffz-m6 | 12 | 3.2 - 5.6 - 9.9 | 3.24 - 4.22 - 4.60 | 1406 | 0.24 | 1.33 | 0.96 | 371 s | 4.22 GB |
| hdiffz-m6-p8 | 12 | 7.7 - 11.7 - 19.7 | 3.27 - 4.27 - 4.73 | 1536 | 0.23 | 1.19 | 0.96 | 130 s | 4.27 GB |
| hdiffz-s64 | 12 | 5.6 - 6.4 - 9.4 | 0.44 - 1.95 - 7.50 | 853 | 0.25 | 1.14 | 0.99 | 200 s | 1.95 GB |
| zstd-19 | 8 | 1.6 - 3.1 - 4.6 | 4.21 - 5.17 - 5.67 | 693 | 2.08 | 0.44 | 0.87 | 85 s | 5.17 GB |
| zstd-19-T0 | 12 | 2.0 - 4.1 - 14.3 | 4.13 - 4.71 - 5.68 | 710 | 2.05 | 0.35 | 0.70 | 62 s | 4.71 GB |
| xdelta3-9-lzma | 12 | 5.8 - 8.5 - 10.5 | 6.41 - 8.98 - 11.19 | 233 | 1.39 | 1.09 | 0.98 | 149 s | 8.98 GB |
| full-zstd-19 | 8 | 3.7 - 9.3 - 11.9 | 3.89 - 4.15 - 4.83 | 1220 | 0.14 | 0.30 | 0.94 | 22 s | 4.15 GB |
| full-zstd-19-T0 | 12 | 3.8 - 12.0 - 23.3 | 3.12 - 4.15 - 4.83 | 1309 | 0.11 | 0.39 | 0.93 | 28 s | 4.15 GB |

### Compact: patch MB / encode s / encoder RSS MB per pair (reps: 3, or 1 for inputs > 200 MB)

| pair (NEW MB) | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19-T0 |
|---|---|---|---|---|---|---|---|
| F2.v1-v5 (30) | 0.47 / 10 s / 255 | 0.57 / 3 s / 126 | 0.57 / 2 s / 129 | 3.45 / 3 s / 211 | 1.76 / 15 s / 160 | 2.72 / 3 s / 316 | 8.43 / 8 s / 121 |
| F2.v4-v5 (30) | 0.47 / 9 s / 255 | 0.58 / 3 s / 126 | 0.58 / 2 s / 129 | 3.45 / 3 s / 211 | 1.76 / 14 s / 160 | 2.72 / 3 s / 316 | 8.43 / 6 s / 121 |
| kube-apiserver-1.36.3-1.36.4 (88) | 2.06 / 50 s / 760 | 2.37 / 15 s / 373 | 2.37 / 7 s / 378 | 10.39 / 13 s / 218 | 7.08 / 29 s / 409 | 10.04 / 10 s / 757 | 19.07 / 11 s / 349 |
| prometheus-3.13.1-3.13.2-stripped (98) | 2.71 / 54 s / 839 | 2.73 / 16 s / 392 | 2.73 / 7 s / 398 | 11.39 / 15 s / 217 | 8.28 / 32 s / 428 | 11.26 / 10 s / 766 | 23.81 / 12 s / 363 |
| prometheus-3.13.2-3.14.0-stripped (103) | 9.81 / 81 s / 839 | 8.60 / 20 s / 428 | 8.59 / 11 s / 440 | 16.23 / 17 s / 218 | 13.43 / 42 s / 438 | 17.34 / 13 s / 770 | 24.33 / 12 s / 450 |
| terraform-1.15.8-1.15.9 (118) | 5.43 / 85 s / 1008 | 4.92 / 20 s / 502 | 4.91 / 10 s / 510 | 14.83 / 19 s / 218 | 11.32 / 32 s / 471 | 15.07 / 15 s / 787 | 25.55 / 11 s / 465 |
